Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.440279484,-403.5499,-9.67824,86.33602,0.4167005,0.7245929,1.069439,-9.613778,-5.549731,-51.96741,1029.472
2.460446834,-309.0838,-12.62246,88.53285,0.4710558,0.4472876,0.9864298,-9.613778,-5.549731,-51.96741,1029.472
2.480614662,-233.8813,-16.94865,100.9816,0.3352018,0.22987,0.8810084,-10.90129,19.73417,-43.58592,1029.472
2.500782013,-172.6944,-13.64392,98.90679,0.3085857,0.05558496,0.8492031,-10.90129,19.73417,-43.58592,1029.472
2.520949840,-166.6437,-9.197551,107.328,0.3207091,-0.05470061,0.8608628,-9.944159,34.07692,-34.34525,1029.474
2.541117191,-157.6292,0.7767366,121.4854,0.2831883,-0.128676,0.7959548,-9.944159,34.07692,-34.34525,1029.474
2.561285019,-158.8641,5.042848,147.7863,0.2713913,-0.1605058,0.844458,-9.944159,34.07692,-34.34525,1029.474
2.578931332,-180.721,4.441987,166.8255,0.3348257,-0.2704828,0.8239381,-8.334388,40.82442,-27.49888,1029.474
2.599099159,-176.8929,13.21455,192.0891,0.165417,-0.2266274,0.7901419,-8.334388,40.82442,-27.49888,1029.474
2.619266510,-189.6736,22.64807,177.3215,0.03910925,-0.1284968,0.710343,-3.930162,45.27775,-19.28533,1029.471
2.639434338,-178.313,7.806807,149.0068,0.04881748,-0.2843971,0.6587678,-3.930162,45.27775,-19.28533,1029.471
2.659601688,-136.4515,-14.48513,136.6191,0.08532705,-0.4362488,0.5928785,-3.930162,45.27775,-19.28533,1029.473
2.679769516,-95.51622,-23.43795,141.623,0.2426091,-0.5816907,0.5496641,3.176,49.09233,-11.47877,1029.473
2.699937344,-54.45741,-44.70842,152.7902,-0.006610357,-0.6004509,0.6465166,3.176,49.09233,-11.47877,1029.473
2.720104694,-51.2468,-58.40804,122.4007,-0.1090314,-0.4916544,0.6635236,10.04855,49.50745,-6.860888,1029.473
2.740272522,-49.9502,-69.88448,110.8673,-0.03912128,-0.6036333,0.6120958,10.04855,49.50745,-6.860888,1029.473
2.760439396,-21.42513,-71.14629,133.0798,-0.01270333,-0.6156953,0.6519627,16.61933,49.23669,-6.743004,1029.473
2.780607700,-0.1856873,-82.02187,151.4477,-0.07803264,-0.6025555,0.7234779,16.61933,49.23669,-6.743004,1029.473
2.800774574,26.17839,-107.7988,147.8474,-0.119491,-0.5941297,0.6786652,16.61933,49.23669,-6.743004,1029.473
2.820942402,47.29435,-120.2967,132.4085,-0.1912836,-0.1194296,1.318864,20.59196,47.06639,-8.043673,1029.473
2.841110229,19.38671,-132.6744,144.8572,-0.2433414,-0.6564984,0.7020696,20.59196,47.06639,-8.043673,1029.473
2.861277580,1.41962,-131.4126,140.2195,-0.2447131,-0.6823899,0.6624234,26.16443,43.77391,-12.02074,1029.475
2.878924370,-13.70731,-137.3011,140.1584,-0.225112,-0.6617084,0.6735387,26.16443,43.77391,-12.02074,1029.475
2.899092197,-0.0004596114,-144.9921,145.4675,-0.2812961,-0.5913222,0.7762269,26.16443,43.77391,-12.02074,1029.475
2.919259071,11.9776,-162.417,143.1486,-0.2258499,-0.6009641,0.7255086,28.66414,38.92894,-16.07496,1029.475
2.939427376,47.85003,-174.8549,151.8749,-0.3359364,-0.5903929,0.7756105,28.66414,38.92894,-16.07496,1029.477
