Time (s),X (g),Y (g),Z (g)
7.280496597,0.134091,0.4613543,0.1767901
7.300664425,0.07632148,0.4471223,0.1563921
7.320831776,0.02014172,0.3498372,0.1118389
7.340999603,-0.0623889,0.3080918,0.1014714
7.361166954,-0.1904217,0.2680369,0.05319005
7.381334782,-0.3032937,0.2729887,0.07393791
7.401502132,-0.3605099,0.3223042,0.004217898
7.421669960,-0.4646053,0.3636917,0.04593063
7.441836834,-0.5370899,0.4111039,-0.02361833
7.459483623,-0.5513477,0.3974335,0.06571224
7.479651451,-0.5318776,0.3439709,-0.05998313
7.499818802,-0.5598183,0.5065742,-0.05711505
7.519986629,-0.5240882,0.522727,0.06564772
7.540153503,-0.4912029,0.5229139,0.08740874
7.560321808,-0.4552056,0.5063212,0.101033
7.580488682,-0.4579282,0.4656129,0.08664012
7.600656509,-0.3703974,0.3403425,0.3032393
7.620823860,-0.1617342,0.2353658,0.3336925
7.640991688,-0.2235035,0.3400092,0.3691777
7.661159038,-0.2230146,0.3188323,0.3666682
7.681326866,-0.2137765,0.2405879,0.3378992
7.701494217,-0.08112569,0.1145967,0.3778315
7.721662044,0.1785151,0.1025091,0.4053575
7.741828918,0.3115202,0.07420063,0.5207256
7.759475708,0.2846226,-0.03327119,0.5558754
7.779643536,0.1911661,-0.07694089,0.5785587
7.799810886,0.1166114,-0.1477463,0.491549
7.819978714,0.1571211,-0.2537975,0.4692676
7.840146065,0.1013346,-0.3421322,0.3939897
7.860313892,0.0447505,-0.3666939,0.3871758
7.880480766,-0.04322222,-0.375667,0.3431213
7.900648594,-0.04994668,-0.2737406,0.3321763
7.920815945,-0.07290275,-0.230046,0.3558376
7.940983772,-0.1061227,-0.1772966,0.4082197
7.961151123,-0.09562882,-0.156255,0.4449506
7.981318951,-0.06488429,-0.1066788,0.4513559
8.001486301,-0.08968182,-0.07903356,0.5095046
8.021654129,-0.1637323,-0.08238324,0.4944222
8.039300442,-0.1984547,-0.1610932,0.5119606
8.059467793,-0.2711573,-0.2126882,0.5163198
8.079635620,-0.3295413,-0.239987,0.5322099
8.099802971,-0.335423,-0.1988229,0.5032752
8.119970799,-0.3552343,-0.1688503,0.4711105
8.140138149,-0.351722,-0.120106,0.4108139
8.160305977,-0.3315181,-0.07908012,0.3689528
8.180472851,-0.4140843,-0.08664884,0.2658833
8.200641155,-0.3615912,-0.0342332,0.452691
8.220808029,-0.3265715,-0.1252455,0.3057552
8.240975857,-0.2882009,-0.06452954,0.3964078
8.261143208,-0.2763472,-0.07344028,0.3066088
8.281311035,-0.3071907,0.05471385,0.2899608
8.301478386,-0.3964477,0.1422731,0.2732061
8.321646214,-0.3706792,0.1342293,0.2891695
8.341813564,-0.3459219,0.1155169,0.07816023
8.359459877,-0.3941457,-0.07499497,0.3292896
8.379627704,-0.5067727,-0.09584075,0.390522
8.399795055,-0.5164541,-0.1709009,0.3728662
8.419962883,-0.5298772,-0.1784639,0.4283808
8.440130234,-0.5304818,-0.1736624,0.4323529
8.460297108,-0.5144948,-0.2412729,0.3008208
8.480465412,-0.5854169,-0.192564,0.2963303
8.500632286,-0.5528247,-0.08886617,0.3309629
8.520800114,-0.3520435,0.009486496,0.3677001
8.540967464,-0.2156209,0.03521937,0.3995006
8.561135292,-0.04947032,0.1112859,0.4603831
8.581302643,-0.09700215,0.3786322,0.4858519
8.601470470,-0.1619687,0.6230435,0.4223425
8.621637821,-0.08828998,0.7019277,0.436669
8.641805649,0.08412108,0.7485452,0.371206
8.659451961,0.1930323,0.7215189,0.3503668
8.679619312,0.2507399,0.5831623,0.2830604
8.699787140,0.1876185,0.422369,0.2511206
8.719954491,0.1079576,0.3711493,0.1613863
8.740122318,0.05975676,0.386956,0.1373678
8.760289669,0.04618764,0.3708305,0.1127804
8.780457497,0.02962935,0.3102906,0.1552182
8.800624371,0.04077417,0.2425044,0.1880291
8.820792198,0.04268861,0.2068978,0.1991557
8.840959549,0.0152604,0.1363866,0.2757393
8.861127377,-0.01273245,0.1157569,0.249634
8.881294727,-0.01089615,0.01879609,0.1605358
8.901462555,-0.08409625,0.1209337,0.1826026
8.921629906,-0.1274555,0.1011663,0.1854265
8.939276218,-0.2003964,0.1192488,0.1709327
8.959444046,-0.2514252,0.1424801,0.2097822
8.979611397,-0.2951242,0.1281284,0.02673252
8.999778748,-0.3331504,0.2523512,0.08705972
9.019946575,-0.4094517,0.2834553,0.09633901
9.040113926,-0.4248343,0.3030311,-0.002851009
9.060281754,-0.5115824,0.4518142,0.0576973
9.080448627,-0.5593068,0.5565472,0.01926696
9.100616455,-0.6644818,0.5649298,0.04122368
9.120783806,-0.6541826,0.532442,0.121832
9.140951633,-0.5804508,0.4331342,0.1901017
9.161118984,-0.4645139,0.3888427,0.3164014
9.181286812,-0.3257568,0.3861268,0.5027015
9.201454163,-0.3699982,0.005768895,0.583618
9.221621990,-0.4629127,-0.1488639,0.4253902
9.241788864,-0.344926,-0.3061631,-0.04266726
9.259435654,-0.05379069,-0.1608471,0.2489219
9.279603481,-0.009276073,-0.0150553,0.2771597
9.299770832,0.03684615,0.1115183,0.2716925
9.319938660,0.05887365,0.06737602,0.2477562
9.340106010,0.001201969,-0.0419271,0.2672043
9.360272884,-0.1180013,-0.0845294,0.2234874
9.380440712,-0.03998751,-0.1667342,0.2245058
9.400608063,0.08003592,-0.2203761,0.2180611
9.420775890,0.1798433,-0.198015,0.2004334
9.440943241,0.242623,-0.1945654,0.1852306
9.461111069,0.23957,-0.1341471,0.2214962
9.481278419,0.1969023,-0.1201419,0.2303302
9.501446247,0.1900073,-0.1514816,0.2377553
9.521613121,0.1279815,-0.1632338,0.2298744
9.541781425,0.01324528,-0.1237819,0.3119934
9.559427738,-0.06791747,-0.1259932,0.297815
9.579595089,-0.1220561,-0.193644,0.2765123
9.599762916,-0.1631736,-0.2309111,0.2328284
9.619930267,-0.1686482,-0.2208281,0.2088777
9.640098095,-0.1902619,-0.1906137,0.2656243
9.660264969,-0.2482915,-0.1624796,0.2802339
9.680432320,-0.1956073,-0.1497301,0.2640648
9.700600147,-0.1820464,-0.163435,0.2235389
9.720767498,-0.1970523,-0.1661431,0.2019932
9.740935326,-0.2154745,-0.1912382,0.1837456
9.761102676,-0.319118,-0.2457476,0.2482106
9.781270504,-0.2961652,-0.1109535,0.2174834
9.801437378,-0.2543749,-0.090992,0.1893362
9.821605682,-0.1776665,-0.08940455,0.2042766
9.841772556,-0.2502998,-0.1229714,0.181936
9.859419346,-0.2148938,-0.1133707,0.1916462
9.879587173,-0.1543988,-0.1068379,0.2210473
9.899754524,-0.1227738,-0.0533852,0.2246433
9.919921398,-0.06333196,-0.03982857,0.2139184
9.940089226,-0.04082817,-0.0601895,0.2320365
9.960256577,-0.07037455,-0.04201543,0.1726285
9.980424404,-0.09566033,-0.02107084,0.1775222
10.000591755,-0.08946359,0.01117074,0.1286172
10.020759583,-0.1833894,-0.05385828,0.1965137
10.040926933,-0.2067518,-0.07908993,0.2108591
