Time (s),W,X,Y,Z
5.079711914,0.2853027,-0.2322393,0.513636,0.7729638
5.099879742,0.2380322,-0.2211539,0.5054603,0.7972259
5.120047092,0.1983644,-0.2042047,0.4983901,0.816815
5.140214920,0.1644997,-0.1806868,0.4919876,0.8335874
5.160381794,0.1319836,-0.1547287,0.4873095,0.8472287
5.180549622,0.0988078,-0.1266348,0.4843328,0.8580501
5.200716972,0.06994552,-0.09420029,0.4796167,0.8676572
5.220884800,0.0447595,-0.05737891,0.4718229,0.8767639
5.241052151,0.02097845,-0.02288837,0.4593634,0.8858041
5.261219978,-0.0003737802,0.008571899,0.4426454,0.8947731
5.281387329,-0.01602204,0.04258638,0.4195919,0.9047099
5.299034596,-0.02059233,0.07843152,0.391674,0.9146822
5.319201469,-0.01822288,0.1274088,0.3539904,0.9245287
5.339369297,-0.01069072,0.1797966,0.3164882,0.9295276
5.359536648,-1.075296E-05,0.2316367,0.2817073,0.9293077
5.379704475,0.01155004,0.2818147,0.249635,0.9245307
5.399871826,0.02531967,0.3309035,0.2185965,0.9158083
5.420039654,0.04303014,0.3813413,0.1876466,0.902299
5.440207004,0.06954528,0.4327228,0.1565704,0.8831916
5.460374832,0.1051425,0.4823923,0.1260472,0.8584767
5.480541706,0.146373,0.5275996,0.09459288,0.8293932
5.500710010,0.1907854,0.5680272,0.0591433,0.7962885
5.520877838,0.2349236,0.602961,0.02325859,0.7598258
5.541044712,0.2777455,0.6303478,-0.008480793,0.7225472
5.561212540,0.3223895,0.649712,-0.03657623,0.6850031
5.581379890,0.371295,0.6601779,-0.06566048,0.6470096
5.601547718,0.423723,0.6648992,-0.1007721,0.6040201
5.619194508,0.4709719,0.6668743,-0.1383515,0.5576292
5.639361381,0.5208039,0.6678218,-0.1847709,0.4952416
5.659529686,0.561029,0.6649961,-0.2262737,0.4341131
5.679696560,0.589206,0.6579926,-0.2579127,0.3872862
5.699864387,0.6094126,0.6506894,-0.2766979,0.3539569
5.720031738,0.6256636,0.6448683,-0.2878047,0.3263217
5.740199566,0.6429974,0.638576,-0.2948448,0.2974379
5.760367393,0.6627631,0.6300538,-0.2970439,0.2686448
5.780534744,0.6860088,0.6178461,-0.2920522,0.242881
5.800702572,0.7123194,0.6009976,-0.2828166,0.2191927
5.820869923,0.7421096,0.57838,-0.2723564,0.1928716
5.841037750,0.7756171,0.5498382,-0.2576053,0.1623675
5.861205101,0.8054215,0.5202164,-0.2441223,0.1330523
5.881372929,0.8300573,0.4930154,-0.2305309,0.1068818
5.901539803,0.8502609,0.4687895,-0.215625,0.08617584
5.919186592,0.8646662,0.451118,-0.2025665,0.06662754
5.939354420,0.8785157,0.4335867,-0.1873867,0.04155382
5.959522247,0.8903925,0.4181895,-0.169263,0.0172132
5.979689598,0.9005222,0.4045513,-0.1483278,-0.004953876
5.999857426,0.9080133,0.3938264,-0.1281512,-0.02485234
6.020024776,0.9126276,0.3867178,-0.1104747,-0.04453293
6.040192604,0.9152766,0.3821311,-0.09435489,-0.06300249
6.060359478,0.9170739,0.3788035,-0.07644171,-0.07916769
6.080527306,0.918281,0.3765247,-0.05490427,-0.09274937
6.100694656,0.9182227,0.376106,-0.03199482,-0.1049539
6.120862484,0.9167245,0.3769356,-0.009729992,-0.1186124
6.141029835,0.9147351,0.3773384,0.01055627,-0.1318762
6.161197662,0.9133847,0.3754038,0.0326868,-0.1426871
6.181365013,0.9129521,0.3709073,0.06090821,-0.1478644
6.201532841,0.9137868,0.3626023,0.099025,-0.1426002
6.219179153,0.9141498,0.3551931,0.1331303,-0.1306598
6.239346504,0.9123945,0.344739,0.180329,-0.1131376
6.259514332,0.9081225,0.3305975,0.2342062,-0.08828124
6.279682159,0.9013352,0.3170611,0.2830533,-0.05979617
6.299849510,0.8924148,0.3035711,0.327214,-0.03160533
6.320017338,0.8823077,0.2874886,0.3681178,-0.0004087214
6.340184688,0.8682212,0.2711271,0.4104086,0.02956898
6.360352516,0.8500841,0.2496338,0.4556301,0.06378711
6.380519867,0.8282788,0.2262745,0.5001538,0.09606049
6.400687694,0.8048695,0.2041787,0.5395701,0.126443
6.420854568,0.7799779,0.1815316,0.575844,0.1539871
6.441022396,0.754731,0.1599043,0.6079592,0.1783951
6.461189747,0.7307582,0.1407959,0.6354968,0.1973328
6.481357574,0.7076959,0.1261069,0.6591383,0.213138
6.501524925,0.6846678,0.1146078,0.6803882,0.2275844
6.519171238,0.6636443,0.1062703,0.69806,0.2400472
6.539339542,0.6377261,0.0978611,0.7176917,0.2554896
6.559506416,0.6108936,0.09043037,0.7355901,0.2723345
6.579674244,0.583054,0.08396379,0.7515942,0.2910873
6.599841595,0.5547563,0.07894637,0.7657581,0.3102497
6.620009422,0.525993,0.07741386,0.7776629,0.330464
6.640177250,0.4974772,0.07956338,0.7867654,0.3518721
6.660344601,0.4681254,0.08466143,0.7943479,0.3732693
6.680512428,0.4375472,0.09041338,0.8000453,0.3961477
6.700679779,0.4055857,0.09792936,0.8041691,0.4193443
6.720847607,0.3723574,0.1081541,0.8071818,0.4412909
6.741014957,0.3375857,0.1184828,0.8099736,0.4610509
6.761182785,0.3009675,0.1250355,0.8126398,0.4796131
6.781349659,0.2644116,0.1267699,0.8147085,0.4968838
6.801517487,0.2280623,0.1284321,0.8166763,0.5110382
6.819164276,0.1970352,0.1291407,0.817619,0.5221364
6.839331627,0.1622368,0.1293742,0.8166466,0.5354041
6.859499454,0.1287696,0.1290368,0.8136754,0.5489333
6.879666328,0.09704933,0.1279411,0.8083577,0.5633808
6.899834633,0.06371683,0.1281179,0.8019946,0.5770253
6.920001507,0.03036259,0.1318573,0.7910234,0.5938024
6.940169334,0.0004817126,0.140405,0.7746749,0.6138343
6.960336685,-0.02901464,0.151887,0.7534681,0.6363977
6.980504513,-0.05854218,0.1611076,0.7264013,0.6630127
7.000671864,-0.08741934,0.1644853,0.6944124,0.6926191
7.020839691,-0.1155931,0.1628422,0.6610422,0.7209517
7.041007042,-0.1432295,0.1625466,0.6291258,0.7442394
7.061174870,-0.1696378,0.1631068,0.5993892,0.7628758
7.081341743,-0.192546,0.1656684,0.5711252,0.7784109
7.101510048,-0.2121826,0.1703369,0.5451622,0.7908159
7.119156361,-0.2264315,0.177233,0.523646,0.7998372
7.139323711,-0.237635,0.1895332,0.4983356,0.8098742
7.159491539,-0.2441028,0.2084835,0.4702849,0.8200049
7.179659367,-0.2462325,0.2329107,0.4404127,0.8293288
7.199826717,-0.2430661,0.2608778,0.4104678,0.8372607
7.219994545,-0.2342585,0.2931587,0.3812363,0.8428923
7.240161419,-0.2195697,0.3298788,0.3521062,0.8459419
7.260329723,-0.200986,0.3716334,0.3209883,0.8456284
7.280496597,-0.1766624,0.4172631,0.2883327,0.8415306
7.300664425,-0.1466161,0.4660113,0.2544924,0.8325853
7.320831776,-0.1123244,0.5155423,0.2204632,0.8183048
7.340999603,-0.07487145,0.5642039,0.1859423,0.7988248
7.361166954,-0.03462749,0.6113917,0.1492303,0.7741827
7.381334782,0.01076727,0.6547211,0.1114849,0.7452669
7.401502132,0.05714124,0.6919311,0.06828853,0.714094
7.419148445,0.1004507,0.7194611,0.02726391,0.6842289
7.439316273,0.151215,0.7453225,-0.0219976,0.6463527
7.459483623,0.2006205,0.7629162,-0.06804105,0.6080362
7.479651451,0.2472821,0.7729423,-0.1108313,0.57075
7.499818802,0.2954485,0.7736481,-0.1576481,0.534746
7.519986629,0.343388,0.766987,-0.1977182,0.5013487
7.540153503,0.3894991,0.7534194,-0.2317584,0.4728268
7.560321808,0.4344698,0.7357239,-0.2518012,0.4507439
7.580488682,0.4807194,0.7109976,-0.2634235,0.4366086
7.600656509,0.5301558,0.67743,-0.2707211,0.4282065
7.620823860,0.5799032,0.6392577,-0.2752778,0.4194181
7.640991688,0.6290439,0.5964096,-0.281999,0.4070667
7.661159038,0.6789606,0.5451204,-0.2893551,0.3933919
7.681326866,0.7251589,0.4895608,-0.2910152,0.3826385
7.701494217,0.7640179,0.4319566,-0.2857832,0.380323
7.719140530,0.7923691,0.3824279,-0.2777355,0.3813011
7.739308357,0.8199072,0.3304535,-0.2701891,0.3770652
7.759475708,0.8446679,0.2861448,-0.2620381,0.3641714
7.779643536,0.8694566,0.2441234,-0.2411022,0.3506368
7.799810886,0.8900114,0.204616,-0.2106083,0.3439237
7.819978714,0.9074301,0.165708,-0.1762523,0.3386358
7.840146065,0.9219773,0.1321506,-0.1454525,0.3285808
7.860313892,0.9343574,0.1081928,-0.1160348,0.313742
7.880480766,0.9436712,0.09648458,-0.08687566,0.2987569
7.900648594,0.951055,0.08424795,-0.05394137,0.2865568
7.920815945,0.9570294,0.07577463,-0.02244301,0.2729047
7.940983772,0.9619214,0.0698418,0.0105986,0.2575743
7.961151123,0.9652924,0.06639811,0.04687594,0.2413135
7.981318951,0.9666227,0.06323118,0.08685534,0.2252245
8.001486301,0.966197,0.06128618,0.1275808,0.2075044
8.019132614,0.9641078,0.06071412,0.1648333,0.1904405
8.039300442,0.9589449,0.06115823,0.2090515,0.1720738
8.059467793,0.9506699,0.06441346,0.2545909,0.1545593
8.079635620,0.9391214,0.07172432,0.3003402,0.1390317
8.099802971,0.9246768,0.08392303,0.3447433,0.1253377
8.119970799,0.9072857,0.09880609,0.3876933,0.115722
8.140138149,0.8867876,0.1157588,0.4297107,0.1103805
8.160305977,0.8626894,0.1350771,0.4719542,0.1068069
8.180472851,0.8341802,0.1561306,0.5150759,0.1053136
8.200641155,0.8024606,0.1792813,0.556267,0.1054028
8.220808029,0.7688217,0.2029098,0.593029,0.1126285
8.240975857,0.7296332,0.2247252,0.6308308,0.1257536
8.261143208,0.6872357,0.2459301,0.6648296,0.1478334
8.281311035,0.6402235,0.2664101,0.6955671,0.1787551
8.301478386,0.5896345,0.2843603,0.7210655,0.2194587
8.319124699,0.5423437,0.2943071,0.7408891,0.2587614
8.339292526,0.487191,0.3040216,0.7577615,0.3043692
8.359459877,0.4270112,0.3140338,0.7721577,0.3456068
8.379627704,0.3657231,0.3223253,0.7798197,0.3884089
8.399795055,0.3043327,0.3269686,0.7793213,0.435613
8.419962883,0.2439203,0.3262984,0.7722991,0.4839564
8.440130234,0.1872415,0.3188268,0.7600107,0.5313202
8.460297108,0.1351074,0.3048668,0.7433125,0.5769888
8.480465412,0.08126269,0.289091,0.7188699,0.6242406
8.500632286,0.02486624,0.2733313,0.686353,0.6709834
8.520800114,-0.02925588,0.2590413,0.6472932,0.7139192
8.540967464,-0.07461634,0.2468658,0.602618,0.7529732
8.561135292,-0.110462,0.2428091,0.5461835,0.7919298
8.581302643,-0.1383353,0.2481219,0.4810463,0.8273576
8.601470470,-0.1631057,0.2556603,0.4193967,0.8536792
8.619116783,-0.1833433,0.2588461,0.3766607,0.8684113
8.639284134,-0.203932,0.2610534,0.339674,0.8783575
8.659451961,-0.2206571,0.2660494,0.3086359,0.8842509
8.679619312,-0.2295949,0.2801335,0.2869521,0.884928
8.699787140,-0.2321423,0.3016249,0.2692528,0.8827587
8.719954491,-0.2296514,0.3283418,0.2519756,0.8789698
8.740122318,-0.2229005,0.3567829,0.2340192,0.8745764
8.760289669,-0.2140408,0.3846101,0.2164631,0.8695015
8.780457497,-0.2036107,0.4126283,0.2008621,0.8628804
8.800624371,-0.1921591,0.4422502,0.1864391,0.8540245
8.820792198,-0.1784927,0.4733792,0.1706181,0.8435457
8.840959549,-0.1613391,0.505959,0.1521153,0.831543
8.861127377,-0.1419411,0.5390739,0.1303082,0.8178627
8.881294727,-0.1210102,0.5726052,0.106273,0.8017564
8.901462555,-0.1009789,0.6064851,0.07836807,0.7826015
8.919109344,-0.08263465,0.6362519,0.05575331,0.7628067
8.939276218,-0.06205122,0.6695069,0.02983835,0.7373244
8.959444046,-0.04129443,0.700873,0.004083741,0.7097059
8.979611397,-0.02009313,0.7279776,-0.02173797,0.6824953
8.999778748,0.006861419,0.7530687,-0.04296829,0.6539279
9.019946575,0.03335991,0.7738773,-0.06248667,0.6266771
9.040113926,0.06357192,0.791266,-0.08104333,0.5999301
9.060281754,0.1095748,0.8058904,-0.09831464,0.5705222
