Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
8.796693325,100.0234,15372286728.0913,4.160625,-1.25,1
8.796693325,100.0234,15372286728.0913,4.160625,-1.25,1
8.796693325,100.0234,15372286728.0913,4.160625,-1.25,1
8.972460747,100.0234,15372286728.0913,4.159375,-1.5625,1
8.972460747,100.0234,15372286728.0913,4.159375,-1.5625,1
8.972460747,100.0234,15372286728.0913,4.159375,-1.5625,1
8.972460747,100.0234,15372286728.0913,4.159375,-1.5625,1
9.148258209,100.0234,15372286728.0913,4.159375,0,1
9.148258209,100.0234,15372286728.0913,4.159375,0,1
9.148258209,100.0234,15372286728.0913,4.159375,0,1
9.324279785,100.0234,15372286728.0913,4.159375,-1.5625,1
9.324279785,100.0234,15372286728.0913,4.159375,-1.5625,1
9.324279785,100.0234,15372286728.0913,4.159375,-1.5625,1
9.324279785,100.0234,15372286728.0913,4.159375,-1.5625,1
9.499851704,100.0234,15372286728.0913,4.16375,0.9375,1
9.499851704,100.0234,15372286728.0913,4.16375,0.9375,1
9.499851704,100.0234,15372286728.0913,4.16375,0.9375,1
9.675659180,100.0234,15372286728.0913,4.158125,0,1
9.675659180,100.0234,15372286728.0913,4.158125,0,1
9.675659180,100.0234,15372286728.0913,4.158125,0,1
9.675659180,100.0234,15372286728.0913,4.158125,0,1
9.851501942,100.0234,15372286728.0913,4.158125,0.3125,1
9.851501942,100.0234,15372286728.0913,4.158125,0.3125,1
9.851501942,100.0234,15372286728.0913,4.158125,0.3125,1
10.027391434,100.0234,15372286728.0913,4.159375,-1.25,1
10.027391434,100.0234,15372286728.0913,4.159375,-1.25,1
10.027391434,100.0234,15372286728.0913,4.159375,-1.25,1
10.027391434,100.0234,15372286728.0913,4.159375,-1.25,1
10.203087807,100.0234,15372286728.0913,4.16,0.625,1
10.203087807,100.0234,15372286728.0913,4.16,0.625,1
10.203087807,100.0234,15372286728.0913,4.16,0.625,1
10.378847122,100.0234,15372286728.0913,4.15875,0.9375,1
10.378847122,100.0234,15372286728.0913,4.15875,0.9375,1
