Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
3.839405537,-0.7046579,0.6472121,-0.2873702,-0.6920605,-0.5440597,0.4711433,0.1500584,0.5310745,0.826512
3.859573364,-0.7224382,0.6749018,-0.1439387,-0.6522141,-0.6001192,0.4601917,0.2254497,0.4262243,0.8688493
3.879740715,-0.7174227,0.6952348,0.006861329,-0.6244846,-0.6490189,0.4317706,0.3056428,0.3050499,0.8948441
3.899908543,-0.6878788,0.7064561,0.1601161,-0.6123018,-0.6853704,0.3914481,0.3870451,0.1704843,0.8990672
3.920076370,-0.6407959,0.7006567,0.3098997,-0.6089659,-0.7113541,0.348122,0.4648852,0.03329496,0.8775584
3.940243721,-0.5835873,0.6778095,0.4440624,-0.6068844,-0.7287646,0.3142674,0.5369437,-0.08744684,0.831679
3.960411549,-0.5149067,0.646188,0.5603927,-0.6108841,-0.7364126,0.2876441,0.5986816,-0.1958558,0.768953
3.980578423,-0.4283928,0.6133643,0.6606119,-0.6244799,-0.7304272,0.2732811,0.6501144,-0.2973919,0.6910157
4.000746727,-0.3264818,0.5760186,0.7463707,-0.6480494,-0.7121126,0.2664316,0.6847618,-0.3989441,0.6009546
4.020913601,-0.2109759,0.5390359,0.8121622,-0.6835285,-0.6758854,0.2716277,0.6949503,-0.5004329,0.5064089
4.041081429,-0.09578836,0.5011144,0.8565104,-0.7253091,-0.6245561,0.2851734,0.6772387,-0.5968933,0.4189217
4.061249256,0.01723057,0.4562821,0.8858038,-0.7652235,-0.5635854,0.3063671,0.6381808,-0.6864651,0.3353856
4.081416607,0.1263828,0.4058567,0.9009496,-0.7996169,-0.4941156,0.3362296,0.5805538,-0.7666276,0.2583635
4.101584435,0.2279269,0.3557945,0.9017634,-0.8253347,-0.4174055,0.3750541,0.508517,-0.8338185,0.1951811
4.119231224,0.3112774,0.3173659,0.8908089,-0.8371286,-0.3465777,0.4179619,0.4398605,-0.8802019,0.1548476
4.139398098,0.3994467,0.2842809,0.8661335,-0.8367511,-0.2638199,0.4746377,0.3617325,-0.9190309,0.1300365
4.159566402,0.4775503,0.2616158,0.8327885,-0.8242504,-0.1803063,0.531575,0.2873861,-0.9452608,0.1276147
4.179733276,0.5533494,0.236277,0.7921492,-0.7987705,-0.09549076,0.5888517,0.2128213,-0.9638225,0.1345395
4.199901104,0.6202304,0.2147512,0.7471735,-0.7629672,-0.01816893,0.6410372,0.1492223,-0.973103,0.1517718
4.220068932,0.6803855,0.2044822,0.6956499,-0.7175493,0.04999916,0.6895947,0.1042335,-0.9739636,0.1804669
4.240236282,0.7416416,0.1968154,0.6320479,-0.6583716,0.1176675,0.7383514,0.06904882,-0.9694739,0.2171252
4.260404110,0.804217,0.1814432,0.5551068,-0.5830958,0.1942212,0.7837232,0.03262565,-0.9598444,0.2628989
4.280571461,0.8663735,0.1487708,0.4633304,-0.4865682,0.2774907,0.8231849,-0.00769262,-0.9445894,0.3143659
4.300739288,0.919082,0.1024672,0.3631035,-0.3745973,0.3596507,0.8492097,-0.0449505,-0.9224862,0.3711469
4.320906639,0.9551383,0.05255838,0.2678826,-0.2630985,0.4353559,0.8553144,-0.07281936,-0.8933204,0.4324513
4.341074467,0.9765931,-0.0009305552,0.181473,-0.1557596,0.5037324,0.8437119,-0.09312507,-0.8579684,0.4951091
4.361241817,0.9856129,-0.04827049,0.1133349,-0.06718846,0.5537911,0.8236026,-0.10325,-0.8249276,0.5462645
