Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
11.301395416,182.3213,0.9589367,48.7966
11.319042206,183.0432,0.895033,48.7966
11.339210033,185.6361,1.011191,50.28353
11.359377384,195.0244,1.029754,50.28353
11.379545212,191.8065,1.100505,50.28353
11.399712086,155.9499,1.133601,52.31431
11.419880390,131.9563,0.9393078,52.31431
11.440047264,163.0098,0.9356434,53.73421
11.460214615,228.2917,0.9606543,53.73421
11.480382442,297.198,1.034814,53.73421
11.500549793,352.6278,1.132482,55.16914
11.520717621,424.2759,1.188975,55.16914
11.540884495,473.2481,1.253313,54.65009
11.561052799,502.5393,1.3907,54.65009
11.581219673,507.0533,1.69672,52.10614
11.601387024,422.5462,1.846689,52.10614
11.619033813,366.3073,1.693688,52.10614
11.639201641,310.2804,1.522598,54.86036
11.659368515,295.5811,1.386245,54.86036
11.679536343,296.6646,1.434004,56.35661
11.699703693,301.998,1.417663,56.35661
11.719871521,319.7354,1.35666,56.35661
11.740038872,336.9904,1.503903,56.57592
11.760206222,351.2935,1.498178,56.57592
11.780374050,362.3258,1.454745,56.11666
11.800540924,348.1424,1.309435,56.11666
11.820708752,335.6049,1.176192,56.11666
11.840876102,336.0587,1.058413,53.90722
11.861043930,353.3954,0.9809372,53.90722
11.881211281,351.6197,0.8819405,51.58295
11.901378632,358.9575,0.8496709,51.58295
11.919024944,369.6226,0.7688244,51.72287
11.939192772,379.8181,0.6334426,51.72287
11.959360123,367.4862,0.6096438,51.72287
11.979527950,353.3549,0.4834855,52.85371
11.999695301,372.3144,0.493477,52.85371
12.019863129,379.3004,0.61202,53.89255
12.040030479,358.0734,0.8538062,53.89255
12.060197353,344.4751,0.8512756,53.89255
12.080365181,367.9801,0.7963039,56.6172
12.100532532,430.5032,0.7441297,56.6172
12.120700359,501.5678,0.7647416,59.17824
12.140867710,557.848,0.8981444,59.17824
12.161035538,589.2798,1.141188,62.47343
12.181202889,597.5344,1.430581,62.47343
12.201369762,554.4669,1.514476,62.47343
12.219016552,498.2318,1.577174,59.91286
12.239184380,450.9651,1.720795,59.91286
12.259351730,404.3746,1.80137,56.09587
12.279519558,339.0743,1.940943,56.09587
12.299686432,266.1735,1.95399,56.09587
12.319853783,218.9646,1.813618,54.54425
12.340021610,235.9602,1.618572,54.54425
12.360188961,275.5287,1.473437,55.28108
12.380356788,329.6951,1.44945,55.28108
12.400524139,380.5355,1.328734,55.28108
12.420691967,427.3215,1.256455,54.31839
12.440859318,481.8852,1.131821,54.31839
12.461026192,528.7886,0.9667745,54.01079
12.481194019,526.4023,0.8168113,54.01079
12.501361370,489.1826,0.7306887,57.96315
12.519008160,468.7144,0.5759324,57.96315
12.539175987,453.9211,0.398603,57.96315
12.559342861,464.2526,0.3889464,61.84179
12.579510212,514.6809,0.5645657,61.84179
12.599678039,611.978,0.9248074,63.40273
12.619845390,699.7852,1.32871,63.40273
12.640013218,725.2923,1.685997,63.40273
12.660180569,719.4987,1.828533,62.73198
12.680348396,709.3257,1.894424,62.73198
12.700515270,658.3378,2.006123,64.6185
12.720682621,518.4733,1.906192,64.6185
12.740850449,419.395,1.820305,64.6185
12.761017799,410.3889,1.73801,64.77119
12.781185627,427.4945,1.656095,64.77119
12.801352978,444.919,1.569905,60.22447
12.818999290,451.8518,1.474342,60.22447
12.839166641,458.9024,1.38094,60.22447
12.859334469,449.5268,1.36652,55.82273
12.879501820,467.5002,1.2966,55.82273
12.899669647,501.5918,1.220307,53.03671
12.919836998,555.4554,1.182501,53.03671
12.940003872,631.7332,1.085144,52.12512
